
0it [00:00, ?it/s]
1it [00:11, 11.26s/it]
2it [00:13,  5.86s/it]
3it [00:14,  3.49s/it]
4it [00:14,  2.44s/it]
5it [00:15,  1.87s/it]
6it [00:16,  1.38s/it]
7it [00:16,  1.12s/it]
8it [00:17,  1.03it/s]
9it [00:17,  1.20it/s]
10it [00:18,  1.23it/s]
11it [00:19,  1.21it/s]
12it [00:20,  1.34it/s]
13it [00:20,  1.33it/s]
14it [00:21,  1.31it/s]
15it [00:22,  1.32it/s]
16it [00:23,  1.30it/s]
17it [00:23,  1.42it/s]
18it [00:24,  1.35it/s]
19it [00:25,  1.28it/s]
20it [00:26,  1.26it/s]
21it [00:26,  1.29it/s]
22it [00:27,  1.28it/s]
23it [00:28,  1.24it/s]
24it [00:29,  1.33it/s]
25it [00:30,  1.25it/s]
26it [00:30,  1.38it/s]
27it [00:31,  1.31it/s]
28it [00:32,  1.21it/s]
29it [00:33,  1.12it/s]
30it [00:34,  1.25it/s]
31it [00:35,  1.24it/s]
32it [00:35,  1.33it/s]
33it [00:36,  1.26it/s]
34it [00:37,  1.25it/s]
35it [00:37,  1.38it/s]
36it [00:38,  1.37it/s]
37it [00:39,  1.39it/s]
38it [00:39,  1.53it/s]
39it [00:40,  1.51it/s]
40it [00:41,  1.44it/s]
41it [00:41,  1.57it/s]
42it [00:42,  1.54it/s]
43it [00:43,  1.53it/s]
44it [00:43,  1.64it/s]
45it [00:44,  1.62it/s]
46it [00:44,  1.55it/s]
47it [00:45,  1.67it/s]
48it [00:46,  1.61it/s]
49it [00:46,  1.57it/s]
50it [00:47,  1.70it/s]
51it [00:47,  1.60it/s]
52it [00:48,  1.66it/s]
53it [00:49,  1.68it/s]
54it [00:49,  1.66it/s]
55it [00:50,  1.70it/s]
56it [00:50,  1.67it/s]
57it [00:51,  1.66it/s]
58it [00:52,  1.74it/s]
59it [00:52,  1.67it/s]
60it [00:53,  1.57it/s]
61it [00:53,  1.67it/s]
62it [00:54,  1.62it/s]
63it [00:55,  1.65it/s]
64it [00:56,  1.21it/s]
65it [00:57,  1.29it/s]
66it [00:57,  1.44it/s]
67it [00:58,  1.49it/s]
68it [00:58,  1.51it/s]
69it [00:59,  1.33it/s]
70it [01:00,  1.39it/s]
71it [01:01,  1.42it/s]
72it [01:01,  1.55it/s]
73it [01:02,  1.46it/s]
74it [01:03,  1.39it/s]
75it [01:03,  1.47it/s]
76it [01:04,  1.56it/s]
77it [01:04,  1.68it/s]
78it [01:05,  1.63it/s]
79it [01:06,  1.32it/s]
80it [01:07,  1.49it/s]
81it [01:07,  1.53it/s]
82it [01:08,  1.55it/s]
83it [01:08,  1.65it/s]
84it [01:10,  1.26it/s]
85it [01:10,  1.42it/s]
86it [01:11,  1.51it/s]
87it [01:11,  1.57it/s]
88it [01:12,  1.65it/s]
89it [01:13,  1.26it/s]
90it [01:14,  1.39it/s]
91it [01:14,  1.55it/s]
92it [01:15,  1.59it/s]
93it [01:15,  1.49it/s]
94it [01:16,  1.36it/s]
95it [01:17,  1.42it/s]
96it [01:17,  1.56it/s]
97it [01:18,  1.58it/s]
98it [01:19,  1.48it/s]
99it [01:20,  1.39it/s]
100it [01:20,  1.49it/s]
101it [01:21,  1.52it/s]
102it [01:21,  1.64it/s]
103it [01:22,  1.53it/s]
104it [01:23,  1.48it/s]
105it [01:23,  1.61it/s]
106it [01:24,  1.66it/s]
107it [01:24,  1.71it/s]
108it [01:25,  1.65it/s]
109it [01:26,  1.54it/s]
110it [01:26,  1.68it/s]
111it [01:27,  1.70it/s]
112it [01:27,  1.67it/s]
113it [01:28,  1.65it/s]
114it [01:29,  1.58it/s]
115it [01:29,  1.58it/s]
116it [01:30,  1.73it/s]
117it [01:31,  1.64it/s]
118it [01:31,  1.70it/s]
119it [01:32,  1.60it/s]
120it [01:32,  1.64it/s]
121it [01:33,  1.71it/s]
122it [01:34,  1.65it/s]
123it [01:34,  1.53it/s]
124it [01:35,  1.69it/s]
125it [01:35,  1.67it/s]
126it [01:36,  1.75it/s]
127it [01:37,  1.64it/s]
128it [01:37,  1.76it/s]
129it [01:38,  1.55it/s]
130it [01:39,  1.53it/s]
131it [01:39,  1.73it/s]
132it [01:39,  1.80it/s]
133it [01:40,  1.88it/s]
134it [01:41,  1.77it/s]
135it [01:41,  1.93it/s]
136it [01:41,  1.94it/s]
137it [01:42,  1.97it/s]
138it [01:43,  1.73it/s]
139it [01:43,  1.59it/s]
140it [01:44,  1.73it/s]
141it [01:45,  1.67it/s]
142it [01:45,  1.74it/s]
143it [01:46,  1.83it/s]
144it [01:46,  1.81it/s]
145it [01:47,  1.90it/s]
146it [01:47,  1.70it/s]
147it [01:48,  1.87it/s]
148it [01:48,  1.87it/s]
149it [01:49,  1.81it/s]
150it [01:49,  1.84it/s]
151it [01:50,  1.78it/s]
152it [01:50,  1.89it/s]
153it [01:51,  1.95it/s]
154it [01:51,  1.93it/s]
155it [01:52,  1.74it/s]
156it [01:53,  1.90it/s]
157it [01:53,  1.93it/s]
158it [01:54,  2.02it/s]
159it [01:54,  1.90it/s]
160it [01:55,  1.72it/s]
161it [01:55,  1.85it/s]
162it [01:56,  1.85it/s]
163it [01:56,  1.73it/s]
164it [01:57,  1.65it/s]
165it [01:58,  1.74it/s]
166it [01:58,  1.74it/s]
167it [01:59,  1.77it/s]
168it [01:59,  1.73it/s]
169it [02:00,  1.87it/s]
170it [02:00,  1.93it/s]
171it [02:01,  1.99it/s]
172it [02:01,  2.07it/s]
173it [02:02,  1.98it/s]
174it [02:02,  1.96it/s]
175it [02:03,  1.95it/s]
176it [02:03,  2.09it/s]
177it [02:04,  1.99it/s]
178it [02:04,  1.94it/s]
179it [02:05,  1.85it/s]
180it [02:05,  1.95it/s]
181it [02:06,  1.93it/s]
182it [02:06,  1.95it/s]
183it [02:07,  2.00it/s]
184it [02:07,  1.96it/s]
185it [02:08,  1.97it/s]
186it [02:08,  1.96it/s]
187it [02:09,  2.07it/s]
188it [02:09,  2.03it/s]
189it [02:10,  2.00it/s]
190it [02:10,  1.96it/s]
191it [02:11,  2.02it/s]
192it [02:11,  2.02it/s]
193it [02:12,  2.06it/s]
194it [02:12,  2.13it/s]
195it [02:13,  2.06it/s]
196it [02:13,  1.94it/s]
197it [02:14,  1.92it/s]
198it [02:14,  2.03it/s]
199it [02:15,  2.03it/s]
200it [02:15,  1.97it/s]
201it [02:16,  1.88it/s]
202it [02:16,  1.97it/s]
203it [02:17,  1.92it/s]
204it [02:17,  1.96it/s]
205it [02:18,  2.02it/s]
206it [02:18,  2.04it/s]
207it [02:19,  2.00it/s]
208it [02:19,  1.91it/s]
209it [02:20,  2.01it/s]
210it [02:20,  2.02it/s]
211it [02:21,  2.05it/s]
212it [02:21,  2.02it/s]
213it [02:22,  2.08it/s]
214it [02:22,  2.03it/s]
215it [02:23,  2.06it/s]
216it [02:23,  2.14it/s]
217it [02:24,  2.08it/s]
218it [02:24,  2.02it/s]
219it [02:25,  2.00it/s]
220it [02:25,  2.08it/s]
221it [02:26,  2.07it/s]
222it [02:26,  1.99it/s]
223it [02:27,  2.00it/s]
224it [02:27,  2.06it/s]
225it [02:28,  2.02it/s]
226it [02:28,  2.01it/s]
227it [02:29,  2.04it/s]
