
0it [00:00, ?it/s]
1it [00:12, 12.56s/it]
2it [00:12,  5.27s/it]
3it [00:12,  2.94s/it]
4it [00:13,  1.83s/it]
5it [00:13,  1.48s/it]
6it [00:14,  1.02s/it]
7it [00:17,  1.86s/it]
8it [00:17,  1.33s/it]
9it [00:20,  1.75s/it]
10it [00:20,  1.27s/it]
11it [00:20,  1.02it/s]
12it [00:21,  1.21it/s]
13it [00:28,  2.73s/it]
14it [00:28,  1.95s/it]
15it [00:28,  1.40s/it]
16it [00:28,  1.02s/it]
17it [00:34,  2.35s/it]
18it [00:34,  1.72s/it]
19it [00:34,  1.24s/it]
20it [00:34,  1.11it/s]
21it [00:39,  2.03s/it]
22it [00:39,  1.46s/it]
23it [00:39,  1.05s/it]
24it [00:39,  1.29it/s]
25it [00:45,  2.18s/it]
26it [00:45,  1.56s/it]
27it [00:45,  1.13s/it]
28it [00:45,  1.21it/s]
29it [00:49,  1.75s/it]
30it [00:49,  1.28s/it]
31it [00:49,  1.07it/s]
32it [00:50,  1.43it/s]
33it [00:54,  1.79s/it]
34it [00:54,  1.31s/it]
35it [00:54,  1.04it/s]
36it [00:54,  1.41it/s]
37it [00:57,  1.15s/it]
38it [00:57,  1.19it/s]
39it [00:57,  1.61it/s]
40it [00:57,  2.12it/s]
41it [01:02,  1.80s/it]
42it [01:02,  1.31s/it]
43it [01:02,  1.05it/s]
44it [01:02,  1.41it/s]
45it [01:09,  2.45s/it]
46it [01:09,  1.75s/it]
47it [01:09,  1.26s/it]
48it [01:09,  1.09it/s]
49it [01:16,  2.76s/it]
50it [01:16,  1.98s/it]
51it [01:16,  1.42s/it]
52it [01:17,  1.04s/it]
53it [01:22,  2.29s/it]
54it [01:22,  1.64s/it]
55it [01:22,  1.19s/it]
56it [01:22,  1.15it/s]
57it [01:27,  2.02s/it]
58it [01:27,  1.48s/it]
59it [01:27,  1.08s/it]
60it [01:27,  1.26it/s]
61it [01:35,  2.71s/it]
62it [01:35,  1.93s/it]
63it [01:35,  1.39s/it]
64it [01:35,  1.01s/it]
65it [01:41,  2.42s/it]
66it [01:41,  1.77s/it]
67it [01:41,  1.28s/it]
68it [01:41,  1.07it/s]
69it [01:45,  1.92s/it]
70it [01:46,  1.38s/it]
71it [01:46,  1.00s/it]
72it [01:46,  1.36it/s]
73it [01:52,  2.44s/it]
74it [01:52,  1.78s/it]
75it [01:53,  1.28s/it]
76it [01:53,  1.07it/s]
77it [01:59,  2.62s/it]
78it [01:59,  1.87s/it]
79it [01:59,  1.35s/it]
80it [02:00,  1.01it/s]
81it [02:05,  2.43s/it]
82it [02:06,  1.74s/it]
83it [02:06,  1.26s/it]
84it [02:06,  1.09it/s]
85it [02:10,  2.04s/it]
86it [02:11,  1.50s/it]
87it [02:11,  1.08s/it]
88it [02:11,  1.26it/s]
89it [02:16,  2.09s/it]
90it [02:16,  1.50s/it]
91it [02:16,  1.08s/it]
92it [02:16,  1.26it/s]
93it [02:20,  1.65s/it]
94it [02:21,  1.45s/it]
95it [02:21,  1.06s/it]
96it [02:21,  1.28it/s]
97it [02:26,  1.95s/it]
98it [02:26,  1.40s/it]
99it [02:26,  1.02s/it]
100it [02:29,  1.69s/it]
101it [02:32,  1.88s/it]
103it [02:32,  1.06s/it]
105it [02:35,  1.27s/it]
106it [02:35,  1.04s/it]
107it [02:36,  1.22it/s]
108it [02:36,  1.54it/s]
109it [02:39,  1.45s/it]
110it [02:40,  1.12s/it]
111it [02:40,  1.20it/s]
112it [02:40,  1.59it/s]
113it [02:44,  1.80s/it]
114it [02:45,  1.31s/it]
115it [02:45,  1.04it/s]
116it [02:45,  1.41it/s]
117it [02:49,  1.67s/it]
118it [02:52,  2.13s/it]
119it [02:52,  1.57s/it]
120it [02:52,  1.14s/it]
121it [02:53,  1.12s/it]
122it [02:59,  2.38s/it]
123it [02:59,  1.71s/it]
124it [02:59,  1.22s/it]
125it [02:59,  1.12it/s]
126it [03:03,  1.76s/it]
127it [03:03,  1.27s/it]
128it [03:03,  1.08it/s]
129it [03:03,  1.46it/s]
130it [03:09,  2.06s/it]
131it [03:09,  1.48s/it]
132it [03:09,  1.07s/it]
133it [03:09,  1.27it/s]
134it [03:12,  1.62s/it]
135it [03:13,  1.23s/it]
136it [03:13,  1.12it/s]
137it [03:13,  1.51it/s]
138it [03:19,  2.32s/it]
139it [03:19,  1.69s/it]
140it [03:20,  1.22s/it]
141it [03:20,  1.12it/s]
142it [03:26,  2.44s/it]
143it [03:26,  1.77s/it]
144it [03:26,  1.27s/it]
145it [03:26,  1.08it/s]
146it [03:29,  1.48s/it]
147it [03:29,  1.10s/it]
148it [03:30,  1.01s/it]
149it [03:30,  1.34it/s]
150it [03:34,  1.67s/it]
151it [03:34,  1.21s/it]
152it [03:34,  1.09it/s]
153it [03:34,  1.49it/s]
154it [03:37,  1.24s/it]
155it [03:37,  1.09it/s]
156it [03:40,  1.45s/it]
157it [03:40,  1.08s/it]
158it [03:41,  1.01s/it]
159it [03:41,  1.35it/s]
160it [03:46,  1.97s/it]
161it [03:46,  1.45s/it]
162it [03:46,  1.05s/it]
163it [03:46,  1.29it/s]
164it [03:50,  1.51s/it]
165it [03:50,  1.13s/it]
166it [03:50,  1.21it/s]
167it [03:50,  1.63it/s]
168it [03:56,  2.16s/it]
169it [03:56,  1.55s/it]
170it [03:56,  1.11s/it]
171it [03:56,  1.23it/s]
172it [03:59,  1.54s/it]
173it [04:00,  1.15s/it]
174it [04:00,  1.18it/s]
175it [04:03,  1.53s/it]
176it [04:03,  1.13s/it]
177it [04:03,  1.20it/s]
178it [04:04,  1.33it/s]
179it [04:11,  2.70s/it]
180it [04:11,  1.92s/it]
181it [04:11,  1.38s/it]
182it [04:12,  1.34s/it]
183it [04:15,  1.78s/it]
184it [04:15,  1.31s/it]
185it [04:16,  1.05it/s]
186it [04:16,  1.42it/s]
187it [04:19,  1.39s/it]
188it [04:19,  1.03s/it]
189it [04:19,  1.31it/s]
190it [04:22,  1.51s/it]
191it [04:24,  1.54s/it]
192it [04:24,  1.13s/it]
193it [04:24,  1.20it/s]
194it [04:28,  1.80s/it]
195it [04:29,  1.32s/it]
196it [04:29,  1.03it/s]
197it [04:29,  1.40it/s]
198it [04:33,  1.70s/it]
199it [04:33,  1.27s/it]
200it [04:34,  1.20s/it]
201it [04:34,  1.14it/s]
202it [04:39,  2.08s/it]
203it [04:42,  2.19s/it]
204it [04:42,  1.60s/it]
205it [04:42,  1.18s/it]
206it [04:47,  2.47s/it]
207it [04:48,  1.79s/it]
208it [04:48,  1.30s/it]
209it [04:48,  1.05it/s]
210it [04:53,  2.29s/it]
211it [04:54,  1.89s/it]
212it [04:54,  1.36s/it]
213it [04:55,  1.01it/s]
214it [04:59,  2.07s/it]
215it [05:00,  1.67s/it]
216it [05:00,  1.20s/it]
217it [05:00,  1.14it/s]
218it [05:04,  1.69s/it]
219it [05:05,  1.62s/it]
220it [05:05,  1.17s/it]
221it [05:05,  1.17it/s]
222it [05:08,  1.51s/it]
223it [05:12,  2.17s/it]
224it [05:12,  1.58s/it]
225it [05:12,  1.14s/it]
226it [05:15,  1.42s/it]
227it [05:16,  1.34s/it]
228it [05:16,  1.02it/s]
229it [05:16,  1.39it/s]
230it [05:21,  1.94s/it]
231it [05:22,  1.62s/it]
232it [05:22,  1.17s/it]
233it [05:22,  1.17it/s]
234it [05:25,  1.69s/it]
235it [05:26,  1.25s/it]
236it [05:26,  1.10it/s]
237it [05:26,  1.48it/s]
238it [05:28,  1.19s/it]
239it [05:30,  1.31s/it]
240it [05:30,  1.03it/s]
241it [05:30,  1.41it/s]
242it [05:32,  1.06it/s]
243it [05:34,  1.21s/it]
244it [05:34,  1.11it/s]
245it [05:34,  1.49it/s]
246it [05:37,  1.40s/it]
247it [05:37,  1.11s/it]
248it [05:38,  1.23it/s]
249it [05:38,  1.63it/s]
250it [05:43,  2.17s/it]
251it [05:44,  1.59s/it]
252it [05:44,  1.15s/it]
253it [05:44,  1.18it/s]
254it [05:47,  1.57s/it]
255it [05:47,  1.16s/it]
256it [05:51,  1.96s/it]
257it [05:51,  1.40s/it]
258it [05:52,  1.26s/it]
259it [05:52,  1.09it/s]
